text,Date,Open,High,Low,Close,Volume,SMA_5,SMA_30,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist,RSI_14,BB_upper,BB_lower,BB_width,BB_pct,Stoch_%K,Stoch_%D,ATR_14,OBV,ROC_10,Close_lag1,Close_lag5,Volume_lag1,Return_1d,Volatility_10d,DayOfWeek,Future_Close,Weekly_Return,label
"BABA traded at $-0.81 on January 01, 1970. Day range: $-0.81 to $-0.83. RSI indicates the stock may be oversold. Outlook: Significant downward pressure expected.",1970-01-01 00:00:00.000000029,-0.8253433769870813,-0.8275259272626214,-0.8134941380623815,-0.8106952991722072,-0.344328467811764,-0.8449157290336216,-0.696560752865868,-0.8060630386246127,-0.7438199511453131,-1.068725534454965,-1.0493189754423267,-0.2738496388840269,-1.648302196650984,-0.6398762680163184,-0.8476183099805122,1.598707377864757,-0.5239001920261621,-1.0333033086197423,-1.4368495398795864,-0.44994986070053855,-0.22252182055965983,-0.04427319747445041,-0.8433843801629292,-0.8671299168948721,-0.3001351834187269,0.8396727294959945,-0.47480561406014793,0.0,82.54236602783203,-0.04020215117637634,0
"BABA surged strongly $-0.85 on January 01, 1970. Day range: $-0.83 to $-0.83. RSI indicates the stock may be oversold. Outlook: Mild bearish pressure in the short term.",1970-01-01 00:00:00.000000030,-0.8156312414136492,-0.8326696283461468,-0.8296190657349609,-0.8475890996268987,-0.2991148606578052,-0.8420607480679461,-0.7060033974170414,-0.8131118293777687,-0.7521836600907276,-1.04824325081328,-1.0632991731894228,-0.16774787778922481,-1.7020563297502111,-0.6445161082395746,-0.8603859521716578,1.6684932294288353,-0.6979311313796127,-1.3946242539502292,-1.3675878292284729,-0.484460967578664,-0.26315592999592546,-0.49704404434575333,-0.8106832945881628,-0.8617636829168701,-0.34415444248291804,-0.9540586829930844,-0.38880668167503757,0.0,81.7890853881836,-0.02487038912189153,0
"BABA remained stable $-0.85 on January 01, 1970. Day range: $-0.83 to $-0.86. RSI indicates the stock may be oversold. Trading volume was significantly higher than previous day. Outlook: Mild bearish pressure in the short term.",1970-01-01 00:00:00.000000031,-0.8437629466534865,-0.8585533872482307,-0.8330136935948363,-0.8494337764014519,-0.9663182783633466,-0.8438073455743467,-0.7140423338778448,-0.8193614158507324,-0.7600659104835465,-1.0225937302488017,-1.0690022561890238,-0.06979990630714311,-1.4698071051640387,-0.6571369076531078,-0.8698876904233853,1.6599624153887564,-0.6445377450489045,-1.031325762227109,-1.2336541848664226,-0.6218569040920757,-0.2830087805965031,-0.5763922754335449,-0.847576874588779,-0.8406345754575798,-0.2989415281300179,-0.06130458040531797,-0.40774276441184376,0.0,83.23770141601562,-0.006340762523597983,0
"BABA remained stable $-0.85 on January 01, 1970. Day range: $-0.83 to $-0.85. RSI indicates the stock may be oversold. Outlook: Mild bearish pressure in the short term.",1970-01-01 00:00:00.000000032,-0.8486191043542032,-0.851252854979259,-0.8294493493854113,-0.8469183442039194,-0.9507060584571932,-0.8408180191188739,-0.7233045831743979,-0.8242605897959341,-0.7671760084858676,-0.9875494952605322,-1.0660760801890583,0.032315195414359885,-0.5900705882095106,-0.6823497047404466,-0.8705569043803838,1.4956589020977618,-0.5691771638921688,-0.9571315100548802,-1.2064853335543035,-0.9451598356288132,-0.26266965913120904,-0.47398399828909,-0.8494215403407075,-0.8617636829168701,-0.9661347223815325,0.0528026546573362,-0.4024360151902856,0.0,82.44579315185547,-0.017493278093061396,0
"BABA remained stable $-0.85 on January 01, 1970. Day range: $-0.84 to $-0.86. RSI indicates the stock may be oversold. Outlook: Mild bearish pressure in the short term.",1970-01-01 00:00:00.000000033,-0.8412511550778379,-0.8608762784112017,-0.8350505533580539,-0.8511107311998068,-0.9320194850161649,-0.8423630851231991,-0.7320369141734946,-0.8290542741489229,-0.7740732358804739,-0.9542188279762057,-1.0566126712194295,0.10967412156408732,-0.5140166714169052,-0.714832592632985,-0.8646323319383507,1.2253841009291344,-0.5434836278971524,-1.069578180080042,-1.0905483514040488,-1.042183229552231,-0.2835908077701131,-0.09200802244875572,-0.846906123173811,-0.8433176262082271,-0.9505227416989926,-0.12265048300680469,-0.668654091063455,0.0,82.20436096191406,-0.017543754070130153,0
"BABA surged strongly $-0.87 on January 01, 1970. Day range: $-0.85 to $-0.87. RSI indicates the stock may be oversold. Outlook: Mild bearish pressure in the short term.",1970-01-01 00:00:00.000000034,-0.8536424570375619,-0.8709975105668442,-0.8542305343893959,-0.8707314202969128,-0.7992383275965047,-0.8543877096311682,-0.7430636665232029,-0.8361442317130481,-0.7819281808714524,-0.9425628365718909,-1.0465511619944257,0.11675179398304703,-0.9399616036412388,-0.7491118712409579,-0.857155535018322,0.9247470742125847,-0.6431209351131115,-1.576246863174793,-1.2849100528134911,-1.0949276557308647,-0.3086476660406156,-0.0708230011533135,-0.8510984851186386,-0.8106176057131498,-0.9318364545894179,-0.5274193707469991,-0.6828245791032621,0.0,81.12271881103516,-0.017199012884101136,0
"BABA surged strongly $-0.88 on January 01, 1970. Day range: $-0.88 to $-0.89. RSI indicates the stock may be oversold. Trading volume was significantly lower than previous day. Outlook: Significant downward pressure expected.",1970-01-01 00:00:00.000000035,-0.8700526727733252,-0.8900785458132615,-0.8774842508945971,-0.8838118796949834,-0.24289197632029935,-0.8616427641016048,-0.7533970154275292,-0.8441659353160645,-0.7901803603048584,-0.9395632574966689,-1.0378609711530538,0.1005241762647479,-1.1616443466010522,-0.7966216969081511,-0.8375222081007884,0.4248555024083964,-0.7500282865159291,-1.3547048966857758,-1.4267159761413042,-1.0981834282375924,-0.3510329390364515,-0.23133113693927307,-0.8707190569748852,-0.8475099840838499,-0.799057331754747,-0.36066136640912366,-0.6680927860437396,0.0,78.78560638427734,-0.036722247102425415,0
"BABA fell sharply $-0.86 on January 01, 1970. Day range: $-0.87 to $-0.87. RSI indicates the stock may be oversold. Trading volume was significantly higher than previous day. Outlook: Mild bearish pressure in the short term.",1970-01-01 00:00:00.000000036,-0.8893095965115206,-0.8685087148941386,-0.8693369869357003,-0.8586571602742179,-0.43187884291805273,-0.8634901140916632,-0.7620955262132357,-0.8470640923615257,-0.7959384175282521,-0.8939331766323644,-1.0211580746450832,0.1953432394369526,-0.7218239689940633,-0.8555156210086572,-0.8002651357080044,-0.31036032813782255,-0.4968715767498991,-0.4227714620754539,-1.1960138543556065,-1.0959041107770786,-0.31453400428033795,-0.19402997041640702,-0.8837994382123828,-0.8493545897547142,-0.24271950528700983,0.6615506608836373,-0.6365415833447399,0.0,82.56167602539062,-0.008121624926261204,0
"BABA surged strongly $-0.87 on January 01, 1970. Day range: $-0.86 to $-0.86. RSI indicates the stock may be oversold. Trading volume was significantly higher than previous day. Outlook: Slight upward movement may continue.",1970-01-01 00:00:00.000000037,-0.8467770389505987,-0.863033197710918,-0.8550792551200184,-0.8724083750952678,-0.8511588345011267,-0.8685955080515483,-0.770777117985159,-0.8516426004526855,-0.802299240761563,-0.8657373445372716,-1.001770558035972,0.22711192950933792,-0.375479402608418,-0.9041476387667936,-0.7681467782505801,-0.9383743248046073,-0.8780607361454463,-0.7894985227031304,-0.91539754904243,-1.1590666509252066,-0.3379737043285766,-0.13203742134695295,-0.8586448691003505,-0.8468392545153649,-0.43170347606844833,-0.3754333153139259,-0.6688059357559587,0.0,83.15078735351562,0.008551002722014448,1
"BABA remained stable $-0.88 on January 01, 1970. Day range: $-0.86 to $-0.87. RSI indicates the stock may be oversold. Outlook: Mild bearish pressure in the short term.",1970-01-01 00:00:00.000000038,-0.8630196997584113,-0.8729885354942528,-0.8584738226368273,-0.8766007620911551,-0.8843154797473631,-0.8737009020114331,-0.7789287959131699,-0.8561649521599463,-0.808502695221901,-0.8391604077330391,-0.9805812889203989,0.24843312759640293,-0.1633726847978397,-0.908947933604701,-0.7710969330969285,-0.954435534949795,-0.9016548399204163,-0.9396208345461051,-0.76734594229587,-1.1727412938708623,-0.3603806806096699,-0.3255119817603925,-0.8723960017528162,-0.8510314799142805,-0.8509770430895304,-0.12460165380429855,-0.730211051058831,0.0,81.5090103149414,-0.00845880484728563,0
"BABA surged strongly $-0.90 on January 01, 1970. Day range: $-0.88 to $-0.90. RSI indicates the stock may be oversold. Outlook: Mild bearish pressure in the short term.",1970-01-01 00:00:00.000000039,-0.8789275229576798,-0.8985405819503415,-0.8796907409523923,-0.8953831062708973,-0.6407545441157241,-0.878638384010142,-0.7858684329253798,-0.8628956951514665,-0.8156525071190213,-0.8330228371996047,-0.962318329205787,0.21380438575857336,-0.460128201407947,-0.9109396682719145,-0.7779644813169759,-0.9181087954930045,-1.2362967866097327,-1.5376384613872704,-1.1649951550986748,-1.1698108153130589,-0.39037380335120775,-0.7521902542267239,-0.8765883636976439,-0.8706514127253026,-0.8841331802816572,-0.5142345982271073,-0.9440048019052517,0.0,79.70307159423828,-0.01749999553274045,0
"BABA surged strongly $-0.94 on January 01, 1970. Day range: $-0.94 to $-0.93. RSI indicates the stock may be oversold. Trading volume was significantly lower than previous day. Outlook: Slight upward movement may continue.",1970-01-01 00:00:00.000000040,-0.9132550982236487,-0.9279088326818885,-0.9428322667505135,-0.9359662602746953,1.7665759122276397,-0.8890843760424068,-0.7944992943772178,-0.8748659316518891,-0.8253103829067336,-0.8711623599305965,-0.9558580393890358,0.07413644471451206,-1.1446883814398867,-0.9119601148171993,-0.7921923728105069,-0.8171684197600102,-1.8913317029367713,-1.140038759817884,-1.29002535998449,-1.0884147239997133,-0.4953475931408051,-0.8020395980120923,-0.895370595645947,-0.8837313679326506,-0.6405759766962907,-1.1103864348507886,-0.8795377076130024,0.0,80.12799835205078,0.017038543325108287,1
