text,Date,Open,High,Low,Close,Volume,SMA_5,SMA_30,EMA_12,EMA_26,MACD,RSI_14,BB_upper,BB_lower,Stoch_%K,Stoch_%D,Close_lag1,Close_lag5,Future_Close,Weekly_Return,label
"SMCI stock data for 29. Close: -0.34, Weekly return: -0.0269",29,-0.33450927392149504,-0.3375684335081477,-0.3342190431114639,-0.33666386268040643,-0.3172256892888734,-0.33966836512075665,-0.35137954097446294,-0.34483729283302406,-0.3500679692397112,0.012522359908795527,0.9257794023497766,-0.3560731924557289,-0.32639095656726946,1.106043073981535,1.1296493828072138,-0.33470086490686085,-0.346996073431331,3.867000102996826,-0.026924981059701595,0
"SMCI stock data for 30. Close: -0.34, Weekly return: 0.0198",30,-0.33612214395053397,-0.3387945537608884,-0.3329450373217063,-0.3356838143508845,-0.3475811217023194,-0.33696658324794615,-0.3505142907480044,-0.34336988272697844,-0.3489418241861513,0.016675930884759525,0.8311520181082662,-0.35477510808514,-0.325347970395893,1.236439729240877,1.3048982670683544,-0.3361712465535684,-0.3467017632993297,4.072999954223633,0.019779668756958104,1
"SMCI stock data for 31. Close: -0.34, Weekly return: 0.0266",31,-0.3362198982397112,-0.33997351900189166,-0.33829589322852044,-0.33975101608671004,-0.3482325258313633,-0.3370550058645322,-0.34961084328477815,-0.34275949614017376,-0.34820669781519126,0.015317365817999912,0.4512203816831069,-0.35412700419455884,-0.3254832787393533,0.6952934544695342,1.0875893831761347,-0.3351909999127378,-0.33684244404580005,4.014999866485596,0.026591626893152327,1
"SMCI stock data for 32. Close: -0.34, Weekly return: 0.05",32,-0.33846814201671543,-0.3422842832287149,-0.337888202141847,-0.33945699925123396,-0.4067611868259583,-0.337074653773296,-0.3485463029379889,-0.34219738099267333,-0.3475037888962309,0.013766296251498576,0.33566226120538956,-0.3544695783204991,-0.32183685850471294,0.7344127619374855,0.9544004985460744,-0.3392590246407309,-0.33689150353096836,4.11299991607666,0.05003825835991271,1
"SMCI stock data for 33. Close: -0.34, Weekly return: 0.024",33,-0.3379305109052526,-0.34266154580950625,-0.3376334058438697,-0.33911398350421107,-0.400377426361328,-0.3378606286834227,-0.3475099952625577,-0.3416685058154028,-0.3468270051869972,0.012128263685140115,0.9797889144944689,-0.3537939570682373,-0.32140199266264635,0.7800514358331806,0.7908351332160714,-0.33896494831138935,-0.3327221255872866,4.01800012588501,0.02395517341883187,1
"SMCI stock data for 34. Close: -0.34, Weekly return: 0.0429",34,-0.3380771365126811,-0.3424257595073731,-0.34145544751301343,-0.34190712007503865,-0.316997697843708,-0.3389118667585416,-0.34685565995480305,-0.3416545172229976,-0.3464115971931372,0.007484804650908483,0.7280997253253528,-0.3535914638414297,-0.3202749423294398,0.36160471878410766,0.6712441604692376,-0.33862186315564485,-0.3341936762472929,4.0329999923706055,0.04292730409940606,1
"SMCI stock data for 35. Close: -0.33, Weekly return: -0.0228",35,-0.34047200589711385,-0.3357292531290366,-0.337888202141847,-0.33181261994434386,-0.16795643311846226,-0.3381357181451798,-0.3458259955869472,-0.3400759189733133,-0.34526351792388865,0.012686742364634348,1.4275160336182382,-0.3519945465863016,-0.32021010514402914,1.536996912900507,0.9588829359517359,-0.3414155649134658,-0.33321265027045677,3.9800000190734863,-0.0228332767481883,0
"SMCI stock data for 36. Close: -0.33, Weekly return: -0.0227",36,-0.32962179251612717,-0.33464462039839993,-0.33712380109797957,-0.33465476710981584,-0.1918955348608258,-0.3371139542755896,-0.34483120680207135,-0.3391813100729126,-0.34441543180017126,0.013349675355873147,1.2423224834086832,-0.35101855852414754,-0.31994606768600925,1.0398265033684122,1.0519839300805875,-0.33131902217581854,-0.33728390924380197,3.9240000247955322,-0.02266496755072556,0
"SMCI stock data for 37. Close: -0.33, Weekly return: -0.0433",37,-0.3327986612559537,-0.3299287819212785,-0.32973452620760496,-0.3298525232853001,-0.20081977142872734,-0.3351883210161409,-0.34368196844120785,-0.3376789797191369,-0.3432669754571775,0.017654024603223916,1.246931690065608,-0.34939616655286243,-0.32009288585360396,1.0581231002623692,1.3016097096440933,-0.3341617444455042,-0.3369895991118007,3.934999942779541,-0.04327740747121413,0
"SMCI stock data for 38. Close: -0.33, Weekly return: -0.0515",38,-0.32585842134658655,-0.33096625964017773,-0.3300912483147345,-0.33450774700898017,-0.29605505509494645,-0.33426480137513565,-0.34260580250413847,-0.3371303117959496,-0.34255566230781587,0.0158482079687828,0.7656041792537746,-0.3486431099305191,-0.3198062555406611,0.44754137363486934,0.9111588679710043,-0.3293585288941574,-0.33664624118938324,3.811000108718872,-0.051518170901137944,0
"SMCI stock data for 39. Close: -0.33, Weekly return: -0.0563",39,-0.33348290632217026,-0.3367195758361983,-0.3322825499370556,-0.3337727166033876,-0.34530120725066576,-0.3326339078285908,-0.3414133846238025,-0.3365519706622232,-0.34184144902181546,0.01435635263734364,0.783100754453868,-0.3481121654145105,-0.3182868987862716,0.4035928163626107,0.6831385682535541,-0.3340146945953718,-0.33944216405389105,3.805999994277954,-0.0562856430751492,0
"SMCI stock data for 40. Close: -0.34, Weekly return: -0.0691",40,-0.3333851636856678,-0.3378985410772016,-0.3342190431114639,-0.3363698458449303,-0.3340319158182062,-0.33354760117283117,-0.34062785012871344,-0.33646570407199494,-0.3413765600714552,0.009986774041284197,0.08806759321830956,-0.34807892521612904,-0.31627915825731356,-0.23665956758906598,0.21910037281962924,-0.3332795154574797,-0.3293375941535284,3.7049999237060547,-0.06909550101747225,0
"SMCI stock data for 41. Close: -0.34, Weekly return: -0.027",41,-0.336415395165391,-0.34119963925463237,-0.33630843107456826,-0.33911398350421107,-0.37386527830924104,-0.33444164426592476,-0.3403787375772884,-0.33681862534405954,-0.3411536451640569,0.0032738028891629496,-0.09884586900777334,-0.3488090095852876,-0.3130962502275244,-0.6946107729810623,-0.19023644808957138,-0.3358771702242269,-0.3321825765032045,3.818000078201294,-0.027013238003167857,0
"SMCI stock data for 42. Close: -0.34, Weekly return: -0.0518",42,-0.33758838837214433,-0.338653088725676,-0.33620650526541607,-0.33857496042790336,-0.3774154308125303,-0.3361904346345843,-0.3395085050681251,-0.33703358956406054,-0.34090647641344224,-0.0021041365506756704,-0.35339571175687584,-0.3501181168844293,-0.3088505640286039,-0.6046567334326505,-0.5515838102769554,-0.33862186315564485,-0.32737554219985615,3.7309999465942383,-0.051842439428653346,0
"SMCI stock data for 43. Close: -0.34, Weekly return: -0.0538",43,-0.3384192590457894,-0.34176554436926526,-0.34074199114881887,-0.3446512577343194,-0.3623679954316161,-0.3382241407617659,-0.33930423266508963,-0.33815858108950414,-0.3411371639309287,-0.012610051392838344,-0.6189822572182923,-0.3509465410510594,-0.3066867615226279,-1.618690291983319,-1.046890906444954,-0.3380827310088265,-0.3320354097424517,3.6059999465942383,-0.05379169674008428,0
"SMCI stock data for 44. Close: -0.34, Weekly return: -0.0439",44,-0.3436977459551916,-0.34662285912504487,-0.34283137911192324,-0.3448962756582487,-0.33539986448919834,-0.3404543400308834,-0.3390202445306847,-0.339148526091287,-0.34136929407306654,-0.02151765055576328,-0.7063134511416357,-0.3514883230072387,-0.3052910410951788,-1.4600517330551956,-1.3212179040509857,-0.34416025784488374,-0.3312996461072007,3.6389999389648438,-0.04387810182979056,0
"SMCI stock data for 45. Close: -0.35, Weekly return: -0.0437",45,-0.34550611290991023,-0.349263730920922,-0.3475197476340866,-0.3498455279005025,-0.29660874860463377,-0.3431561242460769,-0.3389637791879685,-0.34075434254864184,-0.34195853898011497,-0.03350544264582925,-0.7498782353526827,-0.35137138159622805,-0.3055547644684903,-1.5732036652208297,-1.6683362132309016,-0.34440532534782226,-0.33389936611529164,3.5429999828338623,-0.04372468129773841,0
